393.68 403.44
391.6 402.4
387.44 402.4
387.44 400.32
381.2 397.2
378.08 390.96
378.08 388.88
380.16 390.96
378.08 386.8
376 384.72
371.84 376.4
372.88 374.32
379.12 374.32
381.2 375.36
383.28 375.36
385.36 377.44
387.44 377.44
389.52 378.48
391.6 377.44
393.68 377.44
395.76 378.48
395.76 376.4
397.84 376.4
399.92 375.36
405.12 375.36
407.2 373.28
409.28 374.32
410.32 376.4
410.32 388.88
409.28 386.8
406.16 393.04
406.16 395.12
407.2 397.2
407.2 399.28
405.12 399.28
403.04 398.24
405.12 397.2
403.04 396.16
400.96 397.2
398.88 399.28
396.8 399.28
396.8 401.36
395.76 403.44

486 287
482.25 286.81
478.56 286.25
471.62 284.06
465.31 280.68
459.87 276.18
458.92 275.04
460.24 272.4
459.2 270.32
459.2 268.24
461.28 264.08
461.28 262
462.32 259.92
462.32 257.84
463.36 255.76
463.36 253.68
465.44 249.52
465.44 245.36
463.36 241.2
463.36 239.12
461.28 234.96
459.2 232.88
461.28 231.84
460.24 229.76
460.24 223.56
465.31 219.31
471.62 215.93
478.56 213.75
482.25 213.18
486 213
489.81 213.18
493.43 213.75
500.37 215.93
506.68 219.31
512.18 223.87
516.68 229.31
520.06 235.62
522.25 242.56
522.81 246.25
523 250
522.81 253.81
522.25 257.43
520.06 264.37
516.68 270.68
512.18 276.18
506.68 280.68
500.37 284.06
493.43 286.25
489.81 286.81

391.6 356.64
389.52 355.6
387.44 353.52
385.36 354.56
384.32 352.48
382.24 352.48
380.16 350.4
381.2 348.32
379.12 347.28
378.08 349.36
376 350.4
373.92 349.36
376 348.32
377.04 346.24
376 344.16
371.84 346.24
369.76 346.24
371.84 347.28
367.68 349.36
365.6 351.44
362.48 352.48
360.4 354.56
350 349.36
345.84 349.36
343.76 348.32
341.68 348.32
339.6 349.36
337.52 348.32
335.44 346.24
331.28 346.24
329.2 345.2
327.12 343.12
326.08 341.04
324 340
321.92 337.92
321.92 333.76
322.96 331.68
321.92 329.6
